STORE_ID,CITY,REGION,COUNTRY,MANAGER_EMAIL
41,City_40,APAC,Japan,apac_lead@company.com
42,City_41,APAC,Japan,apac_lead@company.com
43,Metro_42,LATAM,Brazil,latam_lead@company.com
44,Metro_43,EMEA,Germany,emea_lead@company.com
45,Metro_44,EMEA,Germany,emea_lead@company.com
46,City_45,EMEA,Germany,emea_lead@company.com
47,Metro_46,LATAM,Brazil,latam_lead@company.com
48,Town_47,APAC,Japan,apac_lead@company.com
49,Metro_48,EMEA,Germany,emea_lead@company.com
50,City_49,EMEA,Germany,emea_lead@company.com
51,City_50,EMEA,Germany,emea_lead@company.com
52,City_51,APAC,Japan,apac_lead@company.com
53,Metro_52,LATAM,Brazil,latam_lead@company.com
54,Town_53,LATAM,Brazil,latam_lead@company.com
55,Town_54,APAC,Japan,apac_lead@company.com
56,Metro_55,North America,USA,north_america_lead@company.com
57,Metro_56,North America,USA,north_america_lead@company.com
58,Metro_57,North America,USA,north_america_lead@company.com
59,City_58,LATAM,Brazil,latam_lead@company.com
60,Metro_59,LATAM,Brazil,latam_lead@company.com
61,City_60,APAC,Japan,apac_lead@company.com
62,Metro_61,LATAM,Brazil,latam_lead@company.com
63,Town_62,LATAM,Brazil,latam_lead@company.com
64,Metro_63,LATAM,Brazil,latam_lead@company.com
65,City_64,North America,USA,north_america_lead@company.com
66,Metro_65,North America,USA,north_america_lead@company.com
67,City_66,APAC,Japan,apac_lead@company.com
68,Metro_67,EMEA,Germany,emea_lead@company.com
69,Metro_68,North America,USA,north_america_lead@company.com
70,City_69,LATAM,Brazil,latam_lead@company.com
71,Metro_70,EMEA,Germany,emea_lead@company.com
72,City_71,LATAM,Brazil,latam_lead@company.com
73,City_72,North America,USA,north_america_lead@company.com
74,Metro_73,APAC,Japan,apac_lead@company.com
75,Metro_74,LATAM,Brazil,latam_lead@company.com
76,Town_75,APAC,Japan,apac_lead@company.com
77,Metro_76,North America,USA,north_america_lead@company.com
78,Town_77,LATAM,Brazil,latam_lead@company.com
79,City_78,APAC,Japan,apac_lead@company.com
80,Metro_79,LATAM,Brazil,latam_lead@company.com
81,City_80,LATAM,Brazil,latam_lead@company.com
82,Metro_81,North America,USA,north_america_lead@company.com
83,City_82,APAC,Japan,apac_lead@company.com
84,Metro_83,LATAM,Brazil,latam_lead@company.com
85,City_84,North America,USA,north_america_lead@company.com
86,Town_85,APAC,Japan,apac_lead@company.com
87,Town_86,North America,USA,north_america_lead@company.com
88,City_87,EMEA,Germany,emea_lead@company.com
89,City_88,APAC,Japan,apac_lead@company.com
90,Metro_89,North America,USA,north_america_lead@company.com
91,Metro_90,LATAM,Brazil,latam_lead@company.com
92,City_91,LATAM,Brazil,latam_lead@company.com
93,City_92,North America,USA,north_america_lead@company.com
94,Town_93,LATAM,Brazil,latam_lead@company.com
95,Metro_94,EMEA,Germany,emea_lead@company.com
96,Town_95,EMEA,Germany,emea_lead@company.com
97,Metro_96,North America,USA,north_america_lead@company.com
98,Town_97,LATAM,Brazil,latam_lead@company.com
99,Metro_98,North America,USA,north_america_lead@company.com
100,Metro_99,North America,USA,north_america_lead@company.com
101,Town_100,APAC,Japan,apac_lead@company.com
102,Metro_101,North America,USA,north_america_lead@company.com
103,City_102,LATAM,Brazil,latam_lead@company.com
104,Town_103,EMEA,Germany,emea_lead@company.com
105,Metro_104,North America,USA,north_america_lead@company.com
106,Metro_105,North America,USA,north_america_lead@company.com
107,City_106,LATAM,Brazil,latam_lead@company.com
108,Metro_107,LATAM,Brazil,latam_lead@company.com
109,Metro_108,North America,USA,north_america_lead@company.com
110,City_109,EMEA,Germany,emea_lead@company.com
111,Town_110,North America,USA,north_america_lead@company.com
112,City_111,APAC,Japan,apac_lead@company.com
113,City_112,EMEA,Germany,emea_lead@company.com
114,Metro_113,EMEA,Germany,emea_lead@company.com
115,Town_114,LATAM,Brazil,latam_lead@company.com
116,Metro_115,LATAM,Brazil,latam_lead@company.com
117,Metro_116,EMEA,Germany,emea_lead@company.com
118,Metro_117,North America,USA,north_america_lead@company.com
119,Metro_118,LATAM,Brazil,latam_lead@company.com
120,Town_119,LATAM,Brazil,latam_lead@company.com
121,Town_120,EMEA,Germany,emea_lead@company.com
122,Metro_121,LATAM,Brazil,latam_lead@company.com
123,City_122,North America,USA,north_america_lead@company.com
124,City_123,LATAM,Brazil,latam_lead@company.com
125,Metro_124,LATAM,Brazil,latam_lead@company.com
126,Metro_125,EMEA,Germany,emea_lead@company.com
127,Metro_126,LATAM,Brazil,latam_lead@company.com
128,Metro_127,EMEA,Germany,emea_lead@company.com
129,City_128,North America,USA,north_america_lead@company.com
130,Metro_129,North America,USA,north_america_lead@company.com
131,City_130,EMEA,Germany,emea_lead@company.com
132,Metro_131,North America,USA,north_america_lead@company.com
133,City_132,APAC,Japan,apac_lead@company.com
134,Metro_133,EMEA,Germany,emea_lead@company.com
135,Metro_134,EMEA,Germany,emea_lead@company.com
136,Metro_135,North America,USA,north_america_lead@company.com
137,Metro_136,EMEA,Germany,emea_lead@company.com
138,Metro_137,LATAM,Brazil,latam_lead@company.com
139,Metro_138,LATAM,Brazil,latam_lead@company.com
140,City_139,EMEA,Germany,emea_lead@company.com
141,Metro_140,North America,USA,north_america_lead@company.com
142,Town_141,LATAM,Brazil,latam_lead@company.com
143,City_142,EMEA,Germany,emea_lead@company.com
144,Metro_143,LATAM,Brazil,latam_lead@company.com
145,Metro_144,LATAM,Brazil,latam_lead@company.com
146,Town_145,LATAM,Brazil,latam_lead@company.com
147,City_146,North America,USA,north_america_lead@company.com
148,City_147,LATAM,Brazil,latam_lead@company.com
149,Metro_148,LATAM,Brazil,latam_lead@company.com
150,Metro_149,LATAM,Brazil,latam_lead@company.com
151,City_150,LATAM,Brazil,latam_lead@company.com
152,Town_151,LATAM,Brazil,latam_lead@company.com
153,Metro_152,LATAM,Brazil,latam_lead@company.com
154,Metro_153,APAC,Japan,apac_lead@company.com
155,City_154,North America,USA,north_america_lead@company.com
156,Metro_155,North America,USA,north_america_lead@company.com
157,Town_156,LATAM,Brazil,latam_lead@company.com
158,City_157,EMEA,Germany,emea_lead@company.com
159,Town_158,APAC,Japan,apac_lead@company.com
160,City_159,North America,USA,north_america_lead@company.com
161,City_160,LATAM,Brazil,latam_lead@company.com
162,City_161,APAC,Japan,apac_lead@company.com
163,Town_162,APAC,Japan,apac_lead@company.com
164,Town_163,North America,USA,north_america_lead@company.com
165,Metro_164,APAC,Japan,apac_lead@company.com
166,Metro_165,LATAM,Brazil,latam_lead@company.com
167,Town_166,APAC,Japan,apac_lead@company.com
168,Metro_167,EMEA,Germany,emea_lead@company.com
169,City_168,LATAM,Brazil,latam_lead@company.com
170,Town_169,LATAM,Brazil,latam_lead@company.com
171,Metro_170,LATAM,Brazil,latam_lead@company.com
172,Town_171,North America,USA,north_america_lead@company.com
173,Metro_172,EMEA,Germany,emea_lead@company.com
174,City_173,LATAM,Brazil,latam_lead@company.com
175,City_174,EMEA,Germany,emea_lead@company.com
176,City_175,LATAM,Brazil,latam_lead@company.com
177,Metro_176,LATAM,Brazil,latam_lead@company.com
178,Metro_177,LATAM,Brazil,latam_lead@company.com
179,Metro_178,North America,USA,north_america_lead@company.com
180,City_179,EMEA,Germany,emea_lead@company.com
181,City_180,EMEA,Germany,emea_lead@company.com
182,Metro_181,EMEA,Germany,emea_lead@company.com
183,Town_182,EMEA,Germany,emea_lead@company.com
184,Town_183,LATAM,Brazil,latam_lead@company.com
185,Metro_184,APAC,Japan,apac_lead@company.com
186,Metro_185,LATAM,Brazil,latam_lead@company.com
187,City_186,North America,USA,north_america_lead@company.com
188,Town_187,LATAM,Brazil,latam_lead@company.com
189,Town_188,LATAM,Brazil,latam_lead@company.com
190,Town_189,North America,USA,north_america_lead@company.com
191,Metro_190,EMEA,Germany,emea_lead@company.com
192,Metro_191,LATAM,Brazil,latam_lead@company.com
193,City_192,North America,USA,north_america_lead@company.com
194,Metro_193,APAC,Japan,apac_lead@company.com
195,Metro_194,LATAM,Brazil,latam_lead@company.com
196,City_195,LATAM,Brazil,latam_lead@company.com
197,Metro_196,North America,USA,north_america_lead@company.com
198,City_197,North America,USA,north_america_lead@company.com
199,Metro_198,North America,USA,north_america_lead@company.com
200,Town_199,EMEA,Germany,emea_lead@company.com
201,Metro_200,LATAM,Brazil,latam_lead@company.com
202,Metro_201,APAC,Japan,apac_lead@company.com
203,Metro_202,North America,USA,north_america_lead@company.com
204,Metro_203,LATAM,Brazil,latam_lead@company.com
205,Metro_204,EMEA,Germany,emea_lead@company.com
206,Town_205,North America,USA,north_america_lead@company.com
207,Town_206,EMEA,Germany,emea_lead@company.com
208,Town_207,EMEA,Germany,emea_lead@company.com
209,Metro_208,APAC,Japan,apac_lead@company.com
210,City_209,APAC,Japan,apac_lead@company.com
211,Metro_210,EMEA,Germany,emea_lead@company.com
212,Town_211,EMEA,Germany,emea_lead@company.com
213,Town_212,LATAM,Brazil,latam_lead@company.com
214,Metro_213,LATAM,Brazil,latam_lead@company.com
215,City_214,North America,USA,north_america_lead@company.com
216,Metro_215,LATAM,Brazil,latam_lead@company.com
217,Metro_216,EMEA,Germany,emea_lead@company.com
218,Metro_217,EMEA,Germany,emea_lead@company.com
219,Town_218,North America,USA,north_america_lead@company.com
220,City_219,LATAM,Brazil,latam_lead@company.com
221,Town_220,LATAM,Brazil,latam_lead@company.com
222,City_221,North America,USA,north_america_lead@company.com
223,Metro_222,APAC,Japan,apac_lead@company.com
224,Metro_223,EMEA,Germany,emea_lead@company.com
225,Metro_224,LATAM,Brazil,latam_lead@company.com
226,City_225,LATAM,Brazil,latam_lead@company.com
227,City_226,EMEA,Germany,emea_lead@company.com
228,City_227,LATAM,Brazil,latam_lead@company.com
229,City_228,North America,USA,north_america_lead@company.com
230,Metro_229,LATAM,Brazil,latam_lead@company.com
231,Metro_230,EMEA,Germany,emea_lead@company.com
232,Metro_231,APAC,Japan,apac_lead@company.com
233,City_232,LATAM,Brazil,latam_lead@company.com
234,Metro_233,North America,USA,north_america_lead@company.com
235,Metro_234,North America,USA,north_america_lead@company.com
236,Metro_235,LATAM,Brazil,latam_lead@company.com
237,Metro_236,APAC,Japan,apac_lead@company.com
238,Metro_237,EMEA,Germany,emea_lead@company.com
239,Metro_238,North America,USA,north_america_lead@company.com
240,Metro_239,EMEA,Germany,emea_lead@company.com
241,Metro_240,North America,USA,north_america_lead@company.com
242,Town_241,APAC,Japan,apac_lead@company.com
243,City_242,North America,USA,north_america_lead@company.com
244,City_243,EMEA,Germany,emea_lead@company.com
245,Metro_244,LATAM,Brazil,latam_lead@company.com
246,Metro_245,LATAM,Brazil,latam_lead@company.com
247,City_246,LATAM,Brazil,latam_lead@company.com
248,Metro_247,North America,USA,north_america_lead@company.com
249,Town_248,LATAM,Brazil,latam_lead@company.com
250,Town_249,APAC,Japan,apac_lead@company.com
251,Town_250,North America,USA,north_america_lead@company.com
252,Metro_251,North America,USA,north_america_lead@company.com
253,Metro_252,North America,USA,north_america_lead@company.com
254,Metro_253,LATAM,Brazil,latam_lead@company.com
255,Metro_254,North America,USA,north_america_lead@company.com
256,Town_255,LATAM,Brazil,latam_lead@company.com
257,Metro_256,LATAM,Brazil,latam_lead@company.com
258,Metro_257,LATAM,Brazil,latam_lead@company.com
259,Metro_258,EMEA,Germany,emea_lead@company.com
260,Town_259,North America,USA,north_america_lead@company.com
261,Metro_260,LATAM,Brazil,latam_lead@company.com
262,Town_261,LATAM,Brazil,latam_lead@company.com
263,Metro_262,LATAM,Brazil,latam_lead@company.com
264,Metro_263,EMEA,Germany,emea_lead@company.com
265,Metro_264,APAC,Japan,apac_lead@company.com
266,Town_265,LATAM,Brazil,latam_lead@company.com
267,City_266,LATAM,Brazil,latam_lead@company.com
268,City_267,APAC,Japan,apac_lead@company.com
269,City_268,LATAM,Brazil,latam_lead@company.com
270,Metro_269,LATAM,Brazil,latam_lead@company.com
271,City_270,LATAM,Brazil,latam_lead@company.com
272,Metro_271,LATAM,Brazil,latam_lead@company.com
273,Metro_272,LATAM,Brazil,latam_lead@company.com
274,Metro_273,LATAM,Brazil,latam_lead@company.com
275,Town_274,North America,USA,north_america_lead@company.com
276,Town_275,North America,USA,north_america_lead@company.com
277,Metro_276,North America,USA,north_america_lead@company.com
278,City_277,LATAM,Brazil,latam_lead@company.com
279,Metro_278,North America,USA,north_america_lead@company.com
280,Town_279,APAC,Japan,apac_lead@company.com
281,Metro_280,APAC,Japan,apac_lead@company.com
282,Metro_281,North America,USA,north_america_lead@company.com
283,Metro_282,LATAM,Brazil,latam_lead@company.com
284,Metro_283,LATAM,Brazil,latam_lead@company.com
285,Metro_284,APAC,Japan,apac_lead@company.com
286,City_285,EMEA,Germany,emea_lead@company.com
287,City_286,APAC,Japan,apac_lead@company.com
288,Metro_287,LATAM,Brazil,latam_lead@company.com
289,Metro_288,LATAM,Brazil,latam_lead@company.com
290,Metro_289,APAC,Japan,apac_lead@company.com
291,Metro_290,EMEA,Germany,emea_lead@company.com
292,Metro_291,LATAM,Brazil,latam_lead@company.com
293,Metro_292,North America,USA,north_america_lead@company.com
294,Metro_293,North America,USA,north_america_lead@company.com
295,Metro_294,EMEA,Germany,emea_lead@company.com
296,Metro_295,APAC,Japan,apac_lead@company.com
297,Metro_296,EMEA,Germany,emea_lead@company.com
298,Metro_297,LATAM,Brazil,latam_lead@company.com
299,Metro_298,LATAM,Brazil,latam_lead@company.com
300,Metro_299,EMEA,Germany,emea_lead@company.com
301,Metro_300,LATAM,Brazil,latam_lead@company.com
302,Metro_301,North America,USA,north_america_lead@company.com
303,Metro_302,LATAM,Brazil,latam_lead@company.com
304,Metro_303,LATAM,Brazil,latam_lead@company.com
305,Metro_304,LATAM,Brazil,latam_lead@company.com
306,Metro_305,APAC,Japan,apac_lead@company.com
307,Metro_306,LATAM,Brazil,latam_lead@company.com
308,Metro_307,APAC,Japan,apac_lead@company.com
309,Town_308,LATAM,Brazil,latam_lead@company.com
310,City_309,North America,USA,north_america_lead@company.com
311,Metro_310,EMEA,Germany,emea_lead@company.com
312,Metro_311,EMEA,Germany,emea_lead@company.com
313,Metro_312,North America,USA,north_america_lead@company.com
314,Town_313,LATAM,Brazil,latam_lead@company.com
315,City_314,EMEA,Germany,emea_lead@company.com
316,Metro_315,North America,USA,north_america_lead@company.com
317,City_316,LATAM,Brazil,latam_lead@company.com
318,City_317,North America,USA,north_america_lead@company.com
319,Metro_318,APAC,Japan,apac_lead@company.com
320,City_319,North America,USA,north_america_lead@company.com
321,City_320,LATAM,Brazil,latam_lead@company.com
322,Town_321,LATAM,Brazil,latam_lead@company.com
323,Metro_322,EMEA,Germany,emea_lead@company.com
324,Town_323,EMEA,Germany,emea_lead@company.com
325,Town_324,LATAM,Brazil,latam_lead@company.com
326,City_325,North America,USA,north_america_lead@company.com
327,City_326,LATAM,Brazil,latam_lead@company.com
328,Metro_327,LATAM,Brazil,latam_lead@company.com
329,Metro_328,North America,USA,north_america_lead@company.com
330,Town_329,LATAM,Brazil,latam_lead@company.com
331,Metro_330,LATAM,Brazil,latam_lead@company.com
332,Metro_331,LATAM,Brazil,latam_lead@company.com
333,Metro_332,LATAM,Brazil,latam_lead@company.com
334,Metro_333,North America,USA,north_america_lead@company.com
335,Metro_334,LATAM,Brazil,latam_lead@company.com
336,Metro_335,North America,USA,north_america_lead@company.com
337,Metro_336,EMEA,Germany,emea_lead@company.com
338,Metro_337,APAC,Japan,apac_lead@company.com
339,City_338,North America,USA,north_america_lead@company.com
340,City_339,North America,USA,north_america_lead@company.com
341,Town_340,LATAM,Brazil,latam_lead@company.com
342,Metro_341,North America,USA,north_america_lead@company.com
343,Metro_342,APAC,Japan,apac_lead@company.com
344,Town_343,EMEA,Germany,emea_lead@company.com
345,Metro_344,EMEA,Germany,emea_lead@company.com
346,Metro_345,LATAM,Brazil,latam_lead@company.com
347,Metro_346,LATAM,Brazil,latam_lead@company.com
348,City_347,North America,USA,north_america_lead@company.com
349,Metro_348,LATAM,Brazil,latam_lead@company.com
350,City_349,North America,USA,north_america_lead@company.com
351,Metro_350,LATAM,Brazil,latam_lead@company.com
352,City_351,EMEA,Germany,emea_lead@company.com
353,Town_352,LATAM,Brazil,latam_lead@company.com
354,Metro_353,LATAM,Brazil,latam_lead@company.com
355,City_354,North America,USA,north_america_lead@company.com
356,Metro_355,LATAM,Brazil,latam_lead@company.com
357,Metro_356,North America,USA,north_america_lead@company.com
358,Metro_357,North America,USA,north_america_lead@company.com
359,City_358,LATAM,Brazil,latam_lead@company.com
360,Metro_359,LATAM,Brazil,latam_lead@company.com
361,City_360,North America,USA,north_america_lead@company.com
362,Metro_361,EMEA,Germany,emea_lead@company.com
363,City_362,LATAM,Brazil,latam_lead@company.com
364,Metro_363,LATAM,Brazil,latam_lead@company.com
365,Metro_364,LATAM,Brazil,latam_lead@company.com
366,City_365,EMEA,Germany,emea_lead@company.com
367,Metro_366,LATAM,Brazil,latam_lead@company.com
368,Metro_367,LATAM,Brazil,latam_lead@company.com
369,City_368,LATAM,Brazil,latam_lead@company.com
370,City_369,EMEA,Germany,emea_lead@company.com
371,Metro_370,EMEA,Germany,emea_lead@company.com
372,City_371,North America,USA,north_america_lead@company.com
373,City_372,LATAM,Brazil,latam_lead@company.com
374,Metro_373,EMEA,Germany,emea_lead@company.com
375,Metro_374,LATAM,Brazil,latam_lead@company.com
376,Metro_375,North America,USA,north_america_lead@company.com
377,Town_376,LATAM,Brazil,latam_lead@company.com
378,Town_377,LATAM,Brazil,latam_lead@company.com
379,Metro_378,LATAM,Brazil,latam_lead@company.com
380,Metro_379,LATAM,Brazil,latam_lead@company.com
381,Metro_380,North America,USA,north_america_lead@company.com
382,Metro_381,APAC,Japan,apac_lead@company.com
383,Town_382,North America,USA,north_america_lead@company.com
384,Town_383,LATAM,Brazil,latam_lead@company.com
385,Metro_384,EMEA,Germany,emea_lead@company.com
386,City_385,LATAM,Brazil,latam_lead@company.com
387,City_386,LATAM,Brazil,latam_lead@company.com
388,City_387,LATAM,Brazil,latam_lead@company.com
389,Town_388,EMEA,Germany,emea_lead@company.com
390,Metro_389,LATAM,Brazil,latam_lead@company.com
391,Metro_390,APAC,Japan,apac_lead@company.com
392,City_391,LATAM,Brazil,latam_lead@company.com
393,Town_392,North America,USA,north_america_lead@company.com
394,Town_393,EMEA,Germany,emea_lead@company.com
395,Town_394,LATAM,Brazil,latam_lead@company.com
396,Metro_395,EMEA,Germany,emea_lead@company.com
397,Metro_396,LATAM,Brazil,latam_lead@company.com
398,City_397,North America,USA,north_america_lead@company.com
399,City_398,North America,USA,north_america_lead@company.com
400,Metro_399,APAC,Japan,apac_lead@company.com
401,Metro_400,LATAM,Brazil,latam_lead@company.com
402,Metro_401,LATAM,Brazil,latam_lead@company.com
403,Metro_402,LATAM,Brazil,latam_lead@company.com
404,Metro_403,APAC,Japan,apac_lead@company.com
405,Metro_404,North America,USA,north_america_lead@company.com
406,Metro_405,APAC,Japan,apac_lead@company.com
407,Metro_406,LATAM,Brazil,latam_lead@company.com
408,Metro_407,APAC,Japan,apac_lead@company.com
409,City_408,LATAM,Brazil,latam_lead@company.com
410,Metro_409,LATAM,Brazil,latam_lead@company.com
411,Town_410,APAC,Japan,apac_lead@company.com
412,Town_411,APAC,Japan,apac_lead@company.com
413,Metro_412,North America,USA,north_america_lead@company.com
414,Metro_413,North America,USA,north_america_lead@company.com
415,Town_414,LATAM,Brazil,latam_lead@company.com
416,Town_415,LATAM,Brazil,latam_lead@company.com
417,City_416,LATAM,Brazil,latam_lead@company.com
418,Metro_417,North America,USA,north_america_lead@company.com
419,Metro_418,APAC,Japan,apac_lead@company.com
420,Town_419,LATAM,Brazil,latam_lead@company.com
421,Metro_420,North America,USA,north_america_lead@company.com
422,Metro_421,APAC,Japan,apac_lead@company.com
423,Metro_422,LATAM,Brazil,latam_lead@company.com
424,Metro_423,APAC,Japan,apac_lead@company.com
425,Metro_424,EMEA,Germany,emea_lead@company.com
426,Metro_425,EMEA,Germany,emea_lead@company.com
427,Metro_426,APAC,Japan,apac_lead@company.com
428,Metro_427,LATAM,Brazil,latam_lead@company.com
429,Metro_428,LATAM,Brazil,latam_lead@company.com
430,Metro_429,EMEA,Germany,emea_lead@company.com
431,Metro_430,North America,USA,north_america_lead@company.com
432,Metro_431,EMEA,Germany,emea_lead@company.com
433,Metro_432,APAC,Japan,apac_lead@company.com
434,City_433,EMEA,Germany,emea_lead@company.com
435,City_434,EMEA,Germany,emea_lead@company.com
436,Metro_435,LATAM,Brazil,latam_lead@company.com
437,Metro_436,EMEA,Germany,emea_lead@company.com
438,Town_437,EMEA,Germany,emea_lead@company.com
439,Metro_438,EMEA,Germany,emea_lead@company.com
440,City_439,LATAM,Brazil,latam_lead@company.com
441,Metro_440,APAC,Japan,apac_lead@company.com
442,City_441,EMEA,Germany,emea_lead@company.com
443,City_442,North America,USA,north_america_lead@company.com
444,Metro_443,North America,USA,north_america_lead@company.com
445,Metro_444,APAC,Japan,apac_lead@company.com
446,City_445,LATAM,Brazil,latam_lead@company.com
447,Metro_446,LATAM,Brazil,latam_lead@company.com
448,Town_447,North America,USA,north_america_lead@company.com
449,Metro_448,LATAM,Brazil,latam_lead@company.com
450,Metro_449,LATAM,Brazil,latam_lead@company.com
451,City_450,LATAM,Brazil,latam_lead@company.com
452,City_451,LATAM,Brazil,latam_lead@company.com
453,Metro_452,LATAM,Brazil,latam_lead@company.com
454,Town_453,LATAM,Brazil,latam_lead@company.com
455,Town_454,LATAM,Brazil,latam_lead@company.com
456,Metro_455,LATAM,Brazil,latam_lead@company.com
457,Metro_456,EMEA,Germany,emea_lead@company.com
458,Metro_457,LATAM,Brazil,latam_lead@company.com
459,City_458,North America,USA,north_america_lead@company.com
460,Metro_459,LATAM,Brazil,latam_lead@company.com
461,Metro_460,LATAM,Brazil,latam_lead@company.com
462,City_461,LATAM,Brazil,latam_lead@company.com
463,Metro_462,EMEA,Germany,emea_lead@company.com
464,City_463,LATAM,Brazil,latam_lead@company.com
465,Metro_464,North America,USA,north_america_lead@company.com
466,Metro_465,North America,USA,north_america_lead@company.com
467,Metro_466,LATAM,Brazil,latam_lead@company.com
468,Metro_467,LATAM,Brazil,latam_lead@company.com
469,Metro_468,North America,USA,north_america_lead@company.com
470,Metro_469,LATAM,Brazil,latam_lead@company.com
471,Metro_470,North America,USA,north_america_lead@company.com
472,Metro_471,North America,USA,north_america_lead@company.com
473,Metro_472,EMEA,Germany,emea_lead@company.com
474,City_473,LATAM,Brazil,latam_lead@company.com
475,Metro_474,LATAM,Brazil,latam_lead@company.com
476,Metro_475,APAC,Japan,apac_lead@company.com
477,City_476,LATAM,Brazil,latam_lead@company.com
478,Metro_477,LATAM,Brazil,latam_lead@company.com
479,Metro_478,North America,USA,north_america_lead@company.com
480,City_479,APAC,Japan,apac_lead@company.com
481,City_480,LATAM,Brazil,latam_lead@company.com
482,City_481,LATAM,Brazil,latam_lead@company.com
483,City_482,North America,USA,north_america_lead@company.com
484,Metro_483,LATAM,Brazil,latam_lead@company.com
485,Metro_484,North America,USA,north_america_lead@company.com
486,City_485,North America,USA,north_america_lead@company.com
487,Metro_486,North America,USA,north_america_lead@company.com
488,City_487,LATAM,Brazil,latam_lead@company.com
489,Metro_488,LATAM,Brazil,latam_lead@company.com
490,City_489,LATAM,Brazil,latam_lead@company.com
491,Metro_490,APAC,Japan,apac_lead@company.com
492,Metro_491,North America,USA,north_america_lead@company.com
493,Metro_492,LATAM,Brazil,latam_lead@company.com
494,Metro_493,North America,USA,north_america_lead@company.com
495,City_494,North America,USA,north_america_lead@company.com
496,Town_495,LATAM,Brazil,latam_lead@company.com
497,Town_496,LATAM,Brazil,latam_lead@company.com
498,Metro_497,LATAM,Brazil,latam_lead@company.com
499,City_498,APAC,Japan,apac_lead@company.com
500,Town_499,LATAM,Brazil,latam_lead@company.com
501,City_500,LATAM,Brazil,latam_lead@company.com
502,Metro_501,North America,USA,north_america_lead@company.com
503,City_502,LATAM,Brazil,latam_lead@company.com
504,City_503,LATAM,Brazil,latam_lead@company.com
505,Metro_504,EMEA,Germany,emea_lead@company.com
506,City_505,North America,USA,north_america_lead@company.com
507,Metro_506,LATAM,Brazil,latam_lead@company.com
508,Town_507,LATAM,Brazil,latam_lead@company.com
509,Metro_508,North America,USA,north_america_lead@company.com
510,Metro_509,LATAM,Brazil,latam_lead@company.com
511,City_510,EMEA,Germany,emea_lead@company.com
512,Town_511,LATAM,Brazil,latam_lead@company.com
513,City_512,LATAM,Brazil,latam_lead@company.com
514,Metro_513,North America,USA,north_america_lead@company.com
515,Metro_514,APAC,Japan,apac_lead@company.com
516,City_515,LATAM,Brazil,latam_lead@company.com
517,Metro_516,EMEA,Germany,emea_lead@company.com
518,Town_517,LATAM,Brazil,latam_lead@company.com
519,Metro_518,EMEA,Germany,emea_lead@company.com
520,Town_519,LATAM,Brazil,latam_lead@company.com
521,Metro_520,North America,USA,north_america_lead@company.com
522,Metro_521,LATAM,Brazil,latam_lead@company.com
523,City_522,EMEA,Germany,emea_lead@company.com
524,City_523,LATAM,Brazil,latam_lead@company.com
525,Metro_524,LATAM,Brazil,latam_lead@company.com
526,Metro_525,LATAM,Brazil,latam_lead@company.com
527,Town_526,LATAM,Brazil,latam_lead@company.com
528,Metro_527,LATAM,Brazil,latam_lead@company.com
529,City_528,EMEA,Germany,emea_lead@company.com
530,Metro_529,North America,USA,north_america_lead@company.com
531,City_530,North America,USA,north_america_lead@company.com
532,Metro_531,LATAM,Brazil,latam_lead@company.com
533,Metro_532,North America,USA,north_america_lead@company.com
534,Metro_533,EMEA,Germany,emea_lead@company.com
